,level,number_sales_agent,percent_sales_agent
0,Agent,60,4.552352048558422
1,Distributor,24,1.8209408194233687
2,Principal,44,3.338391502276176
3,Reseller,102,7.738998482549317
4,Retailer,1088,82.54931714719271
