cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2022-01,1.0,0.4830508474576271,0.5677966101694916,0.5112994350282486,0.480225988700565,0.4887005649717514,0.4632768361581921,0.4604519774011299,0.4519774011299435,0.4491525423728814,0.4463276836158192,0.4604519774011299,0.4378531073446328,0.3813559322033898,0.4209039548022599,0.4067796610169492,0.3531073446327684,0.3870056497175141,0.384180790960452,0.3728813559322034,0.3700564971751412
2022-02,1.0,0.358695652173913,0.41304347826086957,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.2826086956521739,0.34782608695652173,0.25,0.31521739130434784,0.2826086956521739,0.31521739130434784,0.2608695652173913,0.2826086956521739,0.2826086956521739,0.20652173913043478,0.2608695652173913,0.20652173913043478,0.2608695652173913,0.21739130434782608,
2022-03,1.0,0.21311475409836064,0.29508196721311475,0.2459016393442623,0.26229508196721313,0.21311475409836064,0.18032786885245902,0.21311475409836064,0.16393442622950818,0.18032786885245902,0.19672131147540983,0.08196721311475409,0.18032786885245902,0.22950819672131148,0.18032786885245902,0.16393442622950818,0.21311475409836064,0.18032786885245902,0.11475409836065574,,
2022-04,1.0,0.3684210526315789,0.2807017543859649,0.42105263157894735,0.38596491228070173,0.2982456140350877,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.19298245614035087,0.2982456140350877,0.15789473684210525,0.24561403508771928,0.2807017543859649,0.2631578947368421,0.17543859649122806,,,
2022-05,1.0,0.2903225806451613,0.2903225806451613,0.25806451612903225,0.3225806451612903,0.1935483870967742,0.2903225806451613,0.16129032258064516,0.1935483870967742,0.22580645161290322,0.1935483870967742,0.06451612903225806,0.16129032258064516,0.16129032258064516,0.0967741935483871,0.12903225806451613,0.22580645161290322,,,,
2022-06,1.0,0.2903225806451613,0.45161290322580644,0.22580645161290322,0.25806451612903225,0.22580645161290322,0.22580645161290322,0.16129032258064516,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.22580645161290322,0.12903225806451613,0.16129032258064516,0.12903225806451613,0.1935483870967742,,,,,
2022-07,1.0,0.41935483870967744,0.3870967741935484,0.22580645161290322,0.2903225806451613,0.25806451612903225,0.2903225806451613,0.25806451612903225,0.22580645161290322,0.16129032258064516,0.25806451612903225,0.16129032258064516,0.1935483870967742,0.12903225806451613,0.1935483870967742,,,,,,
2022-08,1.0,0.45714285714285713,0.4,0.2857142857142857,0.37142857142857144,0.3142857142857143,0.34285714285714286,0.2571428571428571,0.37142857142857144,0.3142857142857143,0.2857142857142857,0.2,0.2857142857142857,0.34285714285714286,,,,,,,
2022-09,1.0,0.5151515151515151,0.6666666666666666,0.5454545454545454,0.5151515151515151,0.45454545454545453,0.3939393939393939,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.3333333333333333,0.42424242424242425,0.3333333333333333,,,,,,,,
2022-10,1.0,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.3333333333333333,0.5238095238095238,0.42857142857142855,0.2857142857142857,,,,,,,,,
2022-11,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2,0.1,0.13333333333333333,0.1,0.06666666666666667,0.06666666666666667,,,,,,,,,,
2022-12,1.0,0.6206896551724138,0.3793103448275862,0.5172413793103449,0.4482758620689655,0.3103448275862069,0.41379310344827586,0.3103448275862069,0.27586206896551724,0.3103448275862069,,,,,,,,,,,
2023-01,1.0,0.3783783783783784,0.2702702702702703,0.40540540540540543,0.24324324324324326,0.3783783783783784,0.2702702702702703,0.24324324324324326,0.2972972972972973,,,,,,,,,,,,
2023-02,1.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,
2023-03,1.0,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,
2023-04,1.0,0.23529411764705882,0.35294117647058826,0.47058823529411764,0.23529411764705882,0.35294117647058826,,,,,,,,,,,,,,,
2023-05,1.0,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,
2023-06,1.0,0.5,0.5,0.2,,,,,,,,,,,,,,,,,
2023-07,1.0,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,
2023-08,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,
2023-09,1.0,,,,,,,,,,,,,,,,,,,,
