index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
0,2022-03-31,118688325.0,q1,2022,q1-2022,0.0,0.0
1,2022-06-30,155950357.5,q2,2022,q2-2022,31.39485918265339,0.0
2,2022-09-30,185110651.25,q3,2022,q3-2022,18.698446234725697,0.0
3,2022-12-31,185842198.5,q4,2022,q4-2022,0.3951945741966112,0.0
4,2023-03-31,131738656.0,q1,2023,q1-2023,-29.112625085523835,10.995463117370651
5,2023-06-30,298774565.25,q2,2023,q2-2023,126.79339103778315,91.58312301400142
6,2023-09-30,361687870.25,q3,2023,q3-2023,21.057115403165994,95.39009117391348
