index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
0,2021-12-31,31930500.0,q4,2021,q4-2021,0.0,0.0
1,2022-03-31,126195125.0,q1,2022,q1-2022,295.21813000109614,0.0
2,2022-06-30,58614500.0,q2,2022,q2-2022,-53.552484693842175,0.0
3,2022-09-30,85567125.0,q3,2022,q3-2022,45.98286260225712,0.0
4,2022-12-31,71349250.0,q4,2022,q4-2022,-16.616048511621727,123.45171544448097
5,2023-03-31,85834000.0,q1,2023,q1-2023,20.301194476466122,-31.98310949016454
6,2023-06-30,86679250.0,q2,2023,q2-2023,0.9847496330125605,47.88021735236161
7,2023-09-30,195314000.0,q3,2023,q3-2023,125.32959156891646,128.25822417195857
